symbol,strategy,window_start,count,wins,losses,wr,avg_pnl,total_pnl,sharpe,max_dd
BTCUSDT,TREND_FOLLOW,2021-03-01,21,6,15,0.2857142857142857,-0.004505395064766991,-0.0946132963601068,-0.1671668860327837,0.17119541290646229
BTCUSDT,MEAN_REVERT,2021-03-01,11,4,7,0.36363636363636365,-0.0011677799473149763,-0.012845579420464739,-0.03994383995998038,0.08490179260559946
BTCUSDT,BOTTOM_PICK,2021-03-01,0,0,0,0,0,0,0,0
BTCUSDT,BREAKOUT_HUNT,2021-03-01,10,7,3,0.7,0.018461549377664952,0.18461549377664951,0.7437960372360993,0.05781669824108779
BTCUSDT,CONSERVATIVE,2021-03-01,0,0,0,0,0,0,0,0
BTCUSDT,TREND_FOLLOW,2021-03-31,17,8,9,0.47058823529411764,0.004091241533156634,0.06955110606366278,0.1362775322072555,0.052290856990936566
BTCUSDT,MEAN_REVERT,2021-03-31,12,4,8,0.3333333333333333,-0.003348440549421706,-0.04018128659306047,-0.12131219868851924,0.10386126200935937
BTCUSDT,BOTTOM_PICK,2021-03-31,2,0,2,0.0,-0.023718835424391745,-0.04743767084878349,-3.2568147909474643,0.04743767084878349
BTCUSDT,BREAKOUT_HUNT,2021-03-31,5,1,4,0.2,-0.005389452937116762,-0.02694726468558381,-0.2689877171472501,0.059073590815249884
BTCUSDT,CONSERVATIVE,2021-03-31,0,0,0,0,0,0,0,0
BTCUSDT,TREND_FOLLOW,2021-04-30,25,10,15,0.4,0.004706493144603971,0.11766232861509927,0.1539086155065736,0.10071717955329902
BTCUSDT,MEAN_REVERT,2021-04-30,4,4,0,1.0,0.037582345122441234,0.15032938048976494,9.2179087388461,0
BTCUSDT,BOTTOM_PICK,2021-04-30,0,0,0,0,0,0,0,0
BTCUSDT,BREAKOUT_HUNT,2021-04-30,15,3,12,0.2,-0.007023036834960441,-0.10534555252440661,-0.2918943508483045,0.128463329317185
BTCUSDT,CONSERVATIVE,2021-04-30,0,0,0,0,0,0,0,0
BTCUSDT,TREND_FOLLOW,2021-05-30,19,8,11,0.42105263157894735,0.007533033653061935,0.14312763940817677,0.22496437465732236,0.137473184012663
BTCUSDT,MEAN_REVERT,2021-05-30,6,3,3,0.5,0.0060022207548976044,0.036013324529385625,0.20156598588372615,0.07067838485613366
BTCUSDT,BOTTOM_PICK,2021-05-30,2,0,2,0.0,-0.022478389762870612,-0.044956779525741224,-3.7178247967838796,0.044956779525741224
BTCUSDT,BREAKOUT_HUNT,2021-05-30,15,7,8,0.4666666666666667,0.00395891785591994,0.059383767838799104,0.11766777885456893,0.04494427615521506
BTCUSDT,CONSERVATIVE,2021-05-30,0,0,0,0,0,0,0,0
BTCUSDT,TREND_FOLLOW,2021-06-29,14,8,6,0.5714285714285714,0.0075336624950362195,0.10547127493050708,0.2766836034373294,0.06435578426666257
BTCUSDT,MEAN_REVERT,2021-06-29,9,3,6,0.3333333333333333,-0.00429834607557359,-0.03868511468016231,-0.1889514417657792,0.05421708967484731
BTCUSDT,BOTTOM_PICK,2021-06-29,0,0,0,0,0,0,0,0
BTCUSDT,BREAKOUT_HUNT,2021-06-29,8,4,4,0.5,0.0015789066024949404,0.012631252819959523,0.07028924713313305,0.06312268905772483
BTCUSDT,CONSERVATIVE,2021-06-29,0,0,0,0,0,0,0,0
BTCUSDT,TREND_FOLLOW,2021-07-29,19,6,13,0.3157894736842105,-0.005158965757147312,-0.09802034938579893,-0.1962741219178262,0.131711947277272
BTCUSDT,MEAN_REVERT,2021-07-29,12,3,9,0.25,-0.003361375695750591,-0.040336508349007094,-0.1466424344510466,0.11481193139463695
BTCUSDT,BOTTOM_PICK,2021-07-29,1,0,1,0.0,-0.017629866155857925,-0.017629866155857925,0,0.017629866155857925
BTCUSDT,BREAKOUT_HUNT,2021-07-29,13,5,8,0.38461538461538464,0.0012368898182473997,0.016079567637216196,0.04386255417406731,0.058402508382577364
BTCUSDT,CONSERVATIVE,2021-07-29,0,0,0,0,0,0,0,0
BTCUSDT,TREND_FOLLOW,2021-08-29,18,7,11,0.3888888888888889,-0.0019336079700437653,-0.034804943460787774,-0.07279850119288477,0.11040100954278145
